"","X6.I.consider.myself.a.tech.savvy..well.informed.about.or.proficient.in.the.use.of.modern.technology..especially.computers.","X7.I.have.an.understanding.of.the.basic.computational.principles.of.artificial.intelligence..AI.","X8.I.am.comfortable.with.the.nomenclature.related.to.artificial.intelligence","X9.I.have.an.understanding.of.the.limitations.of.artificial.intelligence","X10.Deep.Learning..and..Artificial.Intelligence..are.currently.being.broadly.discussed.in.the.radiological.community...Were.you.already.aware.of.these.topics.in.radiology..","X11.Deep.Learning..and..Artificial.Intelligence..are.currently.being.broadly.discussed.in.the.radiological.community...Do.you.personally.have.a.basic.understanding.of.the.technologies.used.in.these.topics..","X13.The.following.questions.test.your.understanding.of.deep.learning..a.subtype.of.artificial.intelligence....Deep.learning.is.a.class.of.machine.learning.algorithms.that.use.multiple.layers.of.neural.networks..","X14.The.following.questions.test.your.understanding.of.deep.learning..a.subtype.of.artificial.intelligence....Deep.learning.methods.learn.directly.from.data..without.the.need.for.manual.feature.extraction..","X15.The.following.questions.test.your.understanding.of.deep.learning..a.subtype.of.artificial.intelligence....Application.of.deep.learning.in.radiology.requires.large.databases.of.labeled.medical.images..","X16.The.following.questions.test.your.understanding.of.deep.learning..a.subtype.of.artificial.intelligence....Deep.learning.systems.are.often.opaque..it.can.be.difficult.to.delineate.the.underlying..thought.process...","X17.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.revolutionize.radiology.","X18.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.revolutionize.medicine.in.general.","X19.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...The.human.radiologist.will.be.replaced.in.the.foreseeable.future.","X20.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...The.human..non.interventional..physician.will.be.replaced.in.the.foreseeable.future.","X21.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...In.the.foreseeable.future..all.physicians.will.be.replaced.","X22.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...These.developments.frighten.me.","X23.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...These.developments.make.radiology.more.exciting.to.me.","X24.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...These.developments.make.medicine.in.general.more.exciting.to.me.","X25.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.never.make.the.human.physician.expendable.","X26.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...The.impact.of.artificial.intelligence.alone.will.reduce.the.number.of.radiologists.that.are.needed..","X27.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.improve.radiology.","X28.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.improve.medicine.in.general.","X29.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...I.am.less.likely.to.consider.a.career.in.radiology..given.the.advancement.of.AI.","X30.Which.of.these.specialties.do.you.think.will.be.impacted.the.earliest.and.most.","X31.All.medical.students.should.receive.teaching.in.artificial.intelligence","X32.Teaching.in.artificial.intelligence.will.be.beneficial.for.my.career","X33.At.the.end.of.my.medical.degree..I.will.be.confident.in.using.basic.healthcare.AI.tools.if.required","X34.At.the.end.of.my.medical.degree..I.will.have.a.better.understanding.of.the.methods.used.to.assess.healthcare.AI.algorithm.performance","X35.Overall..at.the.end.of.my.medical.degree..I.feel.I.will.possess.the.knowledge.needed.to.work.with.AI.in.routine.clinical.practice","X36.Would.you.consider.using.the.following.clinical.workflow..Patients..clinical.images.undergo.artificial.intelligence.analysis..A.specialist.subsequently.reviews.both.the.image.and.the.artificial.intelligence.findings.","X37.What.potential.applications.for.AI.in.radiology.do.you.see...Automated.detection.of.pathologies.in.imaging.exams.","X38.What.potential.applications.for.AI.in.radiology.do.you.see...Automated.diagnosis.in.imaging.exams.","X39.What.potential.applications.for.AI.in.radiology.do.you.see...Automated.indication.of.appropriate.imaging.exams."
"69","N","N","A/SA","N","No","No","I don't know","I don't know","I don't know","I don't know","N","N","N","N","D/SD","N","D/SD","D/SD","D/SD","N","A/SA","A/SA","N","I don't know","N","A/SA","N","N","N","Unsure","N","N","N"
"70","A/SA","N","A/SA","A/SA","No","No","TRUE","I don't know","FALSE","TRUE","N","A/SA","A/SA","N","A/SA","N","A/SA","N","A/SA","A/SA","N","A/SA","A/SA","I don't know","A/SA","N","A/SA","N","A/SA","No","A/SA","A/SA","A/SA"
"71","A/SA","D/SD","D/SD","D/SD","Yes","No","FALSE","TRUE","I don't know","FALSE","D/SD","D/SD","A/SA","A/SA","N","A/SA","A/SA","A/SA","A/SA","D/SD","D/SD","A/SA","N","I don't know","N","D/SD","N","N","N","No","D/SD","A/SA","N"
"72","A/SA","A/SA","A/SA","N","Yes","No","TRUE","I don't know","FALSE","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","N","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","N","D/SD","N","A/SA","D/SD","Yes","D/SD","A/SA","A/SA"
"73","A/SA","A/SA","A/SA","A/SA","Yes","No","TRUE","FALSE","TRUE","TRUE","A/SA","A/SA","A/SA","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","N","A/SA","A/SA","N","A/SA","Yes","N","D/SD","A/SA"
"74","N","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","D/SD","N","D/SD","D/SD","A/SA","A/SA","N","I don't know","D/SD","D/SD","A/SA","D/SD","A/SA","Yes","A/SA","A/SA","N"
"75","N","A/SA","D/SD","N","Yes","No","TRUE","FALSE","TRUE","TRUE","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","N","D/SD","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","Yes","A/SA","A/SA","A/SA"
"76","N","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","D/SD","D/SD","D/SD","D/SD","D/SD","N","N","A/SA","D/SD","A/SA","A/SA","A/SA","I don't know","D/SD","D/SD","A/SA","A/SA","N","Unsure","N","N","N"
"77","D/SD","D/SD","D/SD","D/SD","Yes","Yes","FALSE","FALSE","TRUE","TRUE","N","A/SA","A/SA","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","D/SD","D/SD","D/SD","D/SD","D/SD","Unsure","D/SD","A/SA","N"
"78","A/SA","A/SA","A/SA","A/SA","Yes","Yes","TRUE","FALSE","TRUE","TRUE","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","A/SA","A/SA","D/SD","N","A/SA","A/SA","D/SD","I don't know","N","A/SA","A/SA","D/SD","D/SD","Yes","A/SA","A/SA","A/SA"
"79","A/SA","A/SA","N","N","No","No","TRUE","I don't know","TRUE","I don't know","N","A/SA","N","D/SD","D/SD","N","D/SD","D/SD","A/SA","N","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","N","N","N","Yes","A/SA","N","A/SA"
"80","A/SA","N","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","N","A/SA","D/SD","N","D/SD","D/SD","A/SA","A/SA","D/SD","D/SD","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","Yes","A/SA","A/SA","N"
"81","A/SA","N","N","A/SA","Yes","Yes","TRUE","FALSE","TRUE","TRUE","A/SA","A/SA","A/SA","A/SA","N","D/SD","N","A/SA","N","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","N","A/SA","N","Yes","A/SA","D/SD","N"
"82","A/SA","A/SA","A/SA","A/SA","Yes","No","TRUE","FALSE","FALSE","TRUE","A/SA","A/SA","A/SA","A/SA","A/SA","D/SD","A/SA","A/SA","N","A/SA","A/SA","A/SA","N","I don't know","A/SA","N","A/SA","A/SA","A/SA","Yes","A/SA","N","N"
"83","A/SA","A/SA","D/SD","D/SD","Yes","No","I don't know","I don't know","TRUE","TRUE","N","A/SA","A/SA","A/SA","A/SA","N","A/SA","A/SA","N","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","D/SD","A/SA","N","Unsure","A/SA","N","A/SA"
"84","A/SA","A/SA","D/SD","A/SA","Yes","Yes","TRUE","TRUE","TRUE","FALSE","D/SD","N","D/SD","D/SD","D/SD","A/SA","A/SA","N","A/SA","D/SD","A/SA","A/SA","D/SD","I don't know","D/SD","D/SD","A/SA","A/SA","N","No","D/SD","D/SD","A/SA"
"85","A/SA","A/SA","A/SA","A/SA","No","Yes","TRUE","TRUE","I don't know","I don't know","A/SA","A/SA","A/SA","A/SA","D/SD","N","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","A/SA","A/SA"
"86","A/SA","A/SA","A/SA","A/SA","Yes","Yes","TRUE","FALSE","TRUE","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","A/SA","A/SA","D/SD","A/SA","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","N","N","N","Yes","A/SA","A/SA","A/SA"
"87","A/SA","N","N","D/SD","Yes","No","I don't know","FALSE","I don't know","I don't know","A/SA","A/SA","N","N","N","N","A/SA","A/SA","N","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","A/SA","N","N","Yes","A/SA","A/SA","A/SA"
"88","D/SD","N","N","A/SA","No","Yes","I don't know","TRUE","TRUE","I don't know","N","A/SA","A/SA","N","A/SA","N","A/SA","N","A/SA","N","A/SA","A/SA","A/SA","I don't know","N","D/SD","N","N","A/SA","No","A/SA","A/SA","N"
"89","N","N","D/SD","A/SA","No","No","I don't know","FALSE","TRUE","TRUE","N","A/SA","N","N","N","N","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","N","A/SA","A/SA"
"90","A/SA","A/SA","A/SA","A/SA","Yes","Yes","I don't know","FALSE","FALSE","TRUE","A/SA","A/SA","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","N","A/SA","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","N","N","Yes","A/SA","A/SA","A/SA"
"91","A/SA","A/SA","A/SA","N","Yes","Yes","TRUE","I don't know","TRUE","TRUE","N","A/SA","N","N","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","A/SA","N","A/SA","Unsure","A/SA","N","N"
"92","N","D/SD","N","D/SD","No","No","I don't know","TRUE","TRUE","TRUE","A/SA","A/SA","A/SA","N","N","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","N","I don't know","A/SA","A/SA","N","D/SD","N","Yes","A/SA","A/SA","A/SA"
"93","A/SA","A/SA","A/SA","A/SA","No","No","I don't know","FALSE","I don't know","I don't know","N","A/SA","A/SA","N","N","A/SA","N","A/SA","N","N","A/SA","A/SA","N","I don't know","A/SA","A/SA","N","D/SD","A/SA","Yes","A/SA","A/SA","A/SA"
"94","N","N","N","N","No","No","TRUE","I don't know","TRUE","TRUE","A/SA","A/SA","D/SD","D/SD","D/SD","A/SA","N","N","A/SA","D/SD","A/SA","A/SA","N","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","Unsure","D/SD","D/SD","D/SD"
"95","N","A/SA","D/SD","A/SA","No","Yes","FALSE","TRUE","TRUE","TRUE","A/SA","D/SD","D/SD","N","D/SD","D/SD","A/SA","A/SA","A/SA","N","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","A/SA","N","N","Yes","A/SA","A/SA","N"
"96","A/SA","A/SA","N","D/SD","Yes","Yes","FALSE","TRUE","I don't know","TRUE","A/SA","A/SA","N","A/SA","A/SA","N","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","D/SD","D/SD","A/SA","D/SD","No","A/SA","N","A/SA"
"97","D/SD","N","N","D/SD","No","No","I don't know","I don't know","TRUE","TRUE","A/SA","A/SA","A/SA","D/SD","D/SD","A/SA","D/SD","A/SA","N","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","N","A/SA","A/SA","Unsure","D/SD","D/SD","A/SA"
"98","A/SA","N","N","N","Yes","Yes","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","N","N","N","N","Unsure","N","N","A/SA"
"99","N","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","N","N","N","N","N","N","N","N","N","N","N","N","N","I don't know","D/SD","D/SD","N","A/SA","N","Yes","N","N","N"
"100","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","TRUE","I don't know","A/SA","A/SA","N","N","N","A/SA","N","A/SA","N","N","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Unsure","A/SA","N","N"
"101","N","N","A/SA","N","No","No","I don't know","I don't know","TRUE","TRUE","A/SA","N","N","N","A/SA","A/SA","A/SA","N","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","N","N","N","N","N","No","A/SA","A/SA","A/SA"
"102","D/SD","D/SD","N","A/SA","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","A/SA","D/SD","D/SD","D/SD","A/SA","N","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","N","A/SA","N","D/SD","N","Unsure","A/SA","D/SD","N"
"103","N","D/SD","D/SD","D/SD","No","Yes","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","N","D/SD","D/SD","N","N","A/SA","N","A/SA","A/SA","N","I don't know","N","D/SD","N","D/SD","D/SD","No","N","D/SD","A/SA"
"104","D/SD","D/SD","N","D/SD","Yes","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","N","N","N","A/SA","A/SA","N","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","No","A/SA","N","N"
"105","A/SA","A/SA","A/SA","D/SD","No","No","FALSE","FALSE","FALSE","FALSE","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","N","N","A/SA","D/SD","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","A/SA","A/SA"
"106","N","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","N","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Unsure","N","N","N"
"107","A/SA","N","N","A/SA","No","No","I don't know","TRUE","TRUE","I don't know","A/SA","A/SA","D/SD","N","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","A/SA","A/SA"
"108","A/SA","A/SA","N","A/SA","Yes","Yes","TRUE","FALSE","TRUE","TRUE","A/SA","A/SA","A/SA","A/SA","A/SA","N","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","N","A/SA"
"109","A/SA","A/SA","A/SA","A/SA","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","D/SD","D/SD","N","A/SA","A/SA","A/SA","N","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Unsure","A/SA","A/SA","A/SA"
"110","A/SA","A/SA","A/SA","A/SA","No","Yes","TRUE","FALSE","I don't know","FALSE","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Unsure","N","A/SA","A/SA"
"111","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","A/SA","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","D/SD","I don't know","N","A/SA","A/SA","A/SA","N","Unsure","N","N","N"
"112","D/SD","D/SD","N","A/SA","Yes","Yes","TRUE","TRUE","FALSE","FALSE","A/SA","A/SA","A/SA","A/SA","D/SD","A/SA","N","N","N","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","N","A/SA"
"113","N","D/SD","D/SD","D/SD","Yes","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","A/SA","A/SA","D/SD","N","A/SA","A/SA","D/SD","A/SA","A/SA","A/SA","A/SA","I don't know","N","D/SD","N","D/SD","D/SD","Unsure","A/SA","A/SA","A/SA"
"114","A/SA","A/SA","A/SA","N","No","No","I don't know","TRUE","TRUE","TRUE","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","A/SA","A/SA","N","A/SA","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","N","N","Unsure","A/SA","D/SD","N"
"115","N","D/SD","A/SA","N","Yes","Yes","TRUE","TRUE","TRUE","FALSE","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Unsure","A/SA","A/SA","A/SA"
"116","N","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","TRUE","I don't know","N","A/SA","D/SD","A/SA","D/SD","N","N","N","N","A/SA","A/SA","A/SA","A/SA","I don't know","D/SD","D/SD","N","A/SA","A/SA","Unsure","A/SA","N","A/SA"
"117","A/SA","N","D/SD","N","No","No","TRUE","FALSE","I don't know","TRUE","A/SA","A/SA","D/SD","D/SD","D/SD","N","N","N","A/SA","N","A/SA","A/SA","N","I don't know","N","N","A/SA","A/SA","A/SA","Yes","A/SA","A/SA","A/SA"
"118","A/SA","N","N","N","Yes","Yes","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","N","A/SA"
"119","A/SA","N","D/SD","A/SA","Yes","No","I don't know","FALSE","I don't know","TRUE","N","D/SD","D/SD","D/SD","D/SD","A/SA","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","D/SD","I don't know","N","A/SA","A/SA","N","D/SD","Yes","N","N","N"
"120","A/SA","N","D/SD","D/SD","No","No","TRUE","TRUE","TRUE","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","N","A/SA","A/SA","A/SA","D/SD","D/SD","A/SA","A/SA","I don't know","A/SA","A/SA","A/SA","A/SA","N","Unsure","D/SD","N","A/SA"
"121","N","D/SD","D/SD","D/SD","Yes","No","TRUE","I don't know","TRUE","I don't know","A/SA","A/SA","A/SA","N","N","D/SD","A/SA","A/SA","D/SD","A/SA","A/SA","A/SA","D/SD","I don't know","N","A/SA","D/SD","D/SD","D/SD","Yes","A/SA","A/SA","N"
"122","N","N","N","D/SD","No","No","TRUE","FALSE","TRUE","I don't know","A/SA","A/SA","N","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","N","I don't know","A/SA","A/SA","N","N","A/SA","Yes","A/SA","A/SA","N"
"123","N","N","A/SA","N","Yes","No","I don't know","I don't know","TRUE","FALSE","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","N","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","A/SA","A/SA"
"124","A/SA","N","N","A/SA","Yes","Yes","TRUE","I don't know","TRUE","I don't know","A/SA","A/SA","A/SA","N","D/SD","A/SA","A/SA","A/SA","A/SA","N","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Unsure","A/SA","N","A/SA"
"125","N","N","A/SA","D/SD","No","No","FALSE","TRUE","TRUE","I don't know","A/SA","A/SA","A/SA","N","D/SD","D/SD","N","D/SD","D/SD","A/SA","D/SD","D/SD","N","I don't know","N","N","A/SA","A/SA","A/SA","No","D/SD","D/SD","A/SA"
"126","N","N","N","N","Yes","No","TRUE","TRUE","I don't know","I don't know","A/SA","A/SA","D/SD","N","D/SD","N","N","A/SA","N","A/SA","A/SA","D/SD","N","I don't know","N","A/SA","N","N","A/SA","Unsure","A/SA","N","N"
"127","N","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","N","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","N","A/SA","N","A/SA","A/SA","Yes","A/SA","A/SA","A/SA"
"128","A/SA","A/SA","N","N","Yes","No","I don't know","I don't know","TRUE","FALSE","N","A/SA","A/SA","A/SA","N","A/SA","A/SA","N","A/SA","A/SA","N","A/SA","A/SA","I don't know","A/SA","N","A/SA","N","N","Unsure","A/SA","N","A/SA"
"129","A/SA","N","A/SA","N","Yes","Yes","TRUE","FALSE","TRUE","FALSE","A/SA","A/SA","A/SA","A/SA","N","A/SA","A/SA","A/SA","A/SA","A/SA","N","A/SA","A/SA","I don't know","N","N","N","N","D/SD","Yes","A/SA","A/SA","A/SA"
"130","D/SD","D/SD","D/SD","D/SD","Yes","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","A/SA","A/SA","D/SD","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","N","N","N","Yes","A/SA","A/SA","D/SD"
"131","N","N","N","N","Yes","No","TRUE","I don't know","I don't know","I don't know","A/SA","N","D/SD","D/SD","D/SD","D/SD","A/SA","N","D/SD","D/SD","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","A/SA","N","N","Unsure","A/SA","A/SA","N"
"132","D/SD","D/SD","N","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","N","N","N","N","N","A/SA","N","A/SA","A/SA","N","I don't know","N","N","D/SD","D/SD","D/SD","Unsure","A/SA","N","N"
"133","N","D/SD","D/SD","N","Yes","No","TRUE","I don't know","TRUE","FALSE","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","A/SA","A/SA","D/SD","A/SA","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","N","N","D/SD","Yes","N","N","N"
"134","A/SA","A/SA","A/SA","A/SA","Yes","Yes","TRUE","TRUE","TRUE","TRUE","A/SA","A/SA","A/SA","A/SA","D/SD","D/SD","A/SA","A/SA","D/SD","A/SA","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Unsure","A/SA","A/SA","A/SA"
"135","N","D/SD","N","N","No","No","TRUE","TRUE","I don't know","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","N","A/SA","N","N","N","Unsure","A/SA","A/SA","A/SA"
"136","N","A/SA","A/SA","A/SA","Yes","No","TRUE","TRUE","TRUE","TRUE","A/SA","A/SA","D/SD","D/SD","D/SD","A/SA","N","A/SA","D/SD","A/SA","A/SA","A/SA","D/SD","I don't know","A/SA","N","A/SA","A/SA","A/SA","Yes","A/SA","A/SA","A/SA"
"137","N","N","D/SD","N","No","Yes","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","A/SA","A/SA","N","D/SD","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","D/SD","D/SD","N","No","A/SA","A/SA","N"
"138","A/SA","D/SD","D/SD","D/SD","No","No","I don't know","TRUE","TRUE","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","N","N","N","A/SA","I don't know","N","D/SD","N","N","N","Yes","A/SA","A/SA","A/SA"
"139","A/SA","N","A/SA","N","No","No","TRUE","I don't know","I don't know","FALSE","A/SA","A/SA","A/SA","A/SA","D/SD","D/SD","A/SA","A/SA","N","A/SA","A/SA","A/SA","A/SA","I don't know","N","A/SA","N","A/SA","A/SA","Yes","A/SA","A/SA","N"
"140","A/SA","A/SA","A/SA","A/SA","Yes","Yes","TRUE","TRUE","TRUE","TRUE","A/SA","A/SA","A/SA","A/SA","A/SA","D/SD","A/SA","A/SA","D/SD","A/SA","A/SA","A/SA","N","I don't know","A/SA","A/SA","D/SD","N","D/SD","Yes","A/SA","A/SA","A/SA"
"141","A/SA","N","A/SA","A/SA","Yes","No","TRUE","I don't know","TRUE","TRUE","A/SA","A/SA","N","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","N","A/SA","N","A/SA","N","Yes","A/SA","A/SA","A/SA"
"142","A/SA","N","N","A/SA","Yes","Yes","TRUE","I don't know","FALSE","FALSE","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","N","A/SA","A/SA","N","A/SA","A/SA","I don't know","N","A/SA","A/SA","N","A/SA","Yes","A/SA","N","D/SD"
"143","N","N","D/SD","N","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","A/SA","D/SD","D/SD","N","N","N","D/SD","D/SD","N","A/SA","N","I don't know","A/SA","A/SA","N","N","N","Unsure","A/SA","A/SA","A/SA"
"144","A/SA","A/SA","A/SA","A/SA","No","No","TRUE","FALSE","TRUE","TRUE","A/SA","A/SA","N","D/SD","D/SD","N","A/SA","A/SA","D/SD","A/SA","A/SA","A/SA","N","I don't know","N","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","A/SA","N"
"145","N","D/SD","N","D/SD","Yes","No","I don't know","I don't know","I don't know","I don't know","N","A/SA","N","N","N","A/SA","N","A/SA","N","N","A/SA","A/SA","N","I don't know","A/SA","N","N","A/SA","A/SA","Unsure","A/SA","N","N"
"146","A/SA","N","N","N","No","No","TRUE","FALSE","TRUE","TRUE","A/SA","A/SA","A/SA","N","N","N","N","N","N","N","N","N","N","I don't know","N","A/SA","A/SA","A/SA","N","Unsure","N","A/SA","A/SA"
"147","N","N","N","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","N","D/SD","A/SA","N","A/SA","A/SA","N","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","N","N","Unsure","A/SA","A/SA","N"
"148","N","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","D/SD","A/SA","A/SA","N","I don't know","A/SA","A/SA","N","N","D/SD","Unsure","A/SA","N","A/SA"
"149","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","N","N","N","N","N","N","N","A/SA","A/SA","N","I don't know","A/SA","A/SA","N","N","D/SD","Unsure","A/SA","A/SA","A/SA"
"150","N","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","N","D/SD","D/SD","A/SA","A/SA","N","N","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","Unsure","A/SA","A/SA","A/SA"
